target	SMILES
P18089	CC1=NN(C2=C1C(N3C4=CC=CC=C4N=C(C3=N2)NC5=CC=CC=C5)C6=CC(=C(C=C6)O)O)C7=CC=CC=C7
P18089	CCCCCCCCCCCOC1=C(C=C(C=C1Br)CNCCCP(=O)(O)O)OC
P18089	CCCCCCCCCCCCNC(=O)C(COP(=O)(O)O)N
P18089	C1=CSC(=C1)C2=NC=C(C(=N2)C(F)(F)F)C3=NN=NN3C4=CC=C(C=C4)F
P18089	CCC(CC)CC1(CCN(CC1)C(=O)NC2=CC(=CC(=C2)OC3=CC=CC=N3)OC4=CC=C(C=C4)F)O
P18089	CCC(CC)CC1(CCN(CC1)C(=O)NC2=CC(=CC(=C2)C)OC3=CC=C(C=C3)F)O
P18089	CCN1C(=CC2=[N+](C3=CC=CC=C3C=C2)CC)C=CC4=CC=CC=C41
P18089	CC1=CC(=NOS(=O)(=O)C2=CC=CC=C2)C=CC1=O
P18089	CS(=O)(=O)C1=CC=C(C=C1)OC2=CC(=CC(=C2)OC3=CC=C(C=C3)F)NC(=O)N4CCC(CC4)(C5=CC=C(C=C5)F)O
P18089	C1=CSC(=C1)C2=C(SC3=C2N=CC(=C3)C(F)(F)F)C(=O)NC4=CC=C(C=C4)F
P18089	C1=CC=C2C(=C1)N=C(S2)C3=CC=CN(C3=O)CC4=CC(=C(C=C4)Cl)Cl
P18089	CCCCCCCCNC1=NC=NC2=CC=CC=C21
P18089	CCC(CC)CC1(CCN(CC1)C(=O)NC2=CC(=CC(=C2)OC3=CC=C(C=C3)F)OC4=CC=C(C=C4)C(=O)NCC)O
P18089	CCC(CC)CC1(CCN(CC1)C(=O)NC2=CC(=CC(=C2)OC3=CC=CC=C3C(=O)N)OC4=CC=C(C=C4)F)O
P18089	C1COCCN1C2=NC(=NC(=C2)N=NCC3=CC=C(O3)C4=CC=C(C=C4)Cl)N5CCOCC5
P18089	CCCCCCCCCCCCCCNC(=O)C(COP(=O)(O)O)N
P18089	CC1=C(C(=CC=C1)Cl)NC(=O)C2=CC=C(O2)C3=C(C=CC(=C3)Cl)Cl
P18089	CC1=CC=C(C=C1)CN2C=CC=C(C2=O)C3=NC4=CC=CC=C4S3
P18089	C1C(N(N=C1C2=CC=CS2)C3=CC=C(C=C3)Cl)C4=CC=CO4
