P18089,P18825,P25100,P35368,P35348,P13945,O95136,Q9H228,Q99500,Q15391,P51582,Q15077,P41231,P30550,P28336,P32247,P32302,P51685,P51684,P51679,P25106,P32246,P49682,P51677,P49286,P48039,P49019,Q9BXC0,Q8TDS4,O95838,P48546,P47871,O00222,Q15303,Q14833
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.536490696,0,0,0,0.052162756,-0.082736447,-0.193229579,0.030780025,0.024874707,0,0,0,0,0,0,0,-0.02705828,0,0,-0.230792914,-0.471280929,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02705828,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.784357804,-0.618224831,-1.317376566,-1.512549668,-1.497892386,-1.072363426,-0.41489419,-0.138315525,-0.189100671,-0.031815083,-0.24772346,-0.444714009,-0.197564593,-0.061890177,-0.028728566,-0.200196774,-0.113500303,-0.198607251,-1.493105695,-0.918174123,-0.185543004,-1.072411176,-0.601603317,-0.233869721,-0.131048158,-1.623213752,-0.175203592,-0.654653242,-1.319790523,-0.019935613,-0.105231372,-0.282069417,-0.129751664,-0.264595188,-1.093737726
-0.784357804,-0.618224831,-1.317376566,-1.512549668,-1.497892386,-1.072363426,-0.41489419,-0.138315525,-0.189100671,-0.031815083,-0.24772346,-0.444714009,-0.197564593,-0.061890177,-0.028728566,-0.200196774,-0.113500303,-0.198607251,-1.493105695,-0.918174123,-0.185543004,-1.072411176,-0.601603317,-0.233869721,-0.131048158,-1.623213752,-0.175201373,-0.310554809,-1.319775061,-0.019935613,-0.105231372,-0.282069417,-0.12974958,0.773494165,0.80866735
-0.283704728,1.884741565,1.30571139,0.338444904,-0.678403938,-1.072363426,-0.41489419,-0.138315525,-0.189100671,-0.031815083,-0.24772346,-0.444714009,-0.197564593,-0.061890177,-0.028728566,-0.200196774,-0.113499323,-0.198605546,-0.917441382,-0.918166256,-0.18554141,-1.072402186,-0.601598208,-0.23386771,-0.131048158,-1.623213752,-0.447248967,-0.004621251,-0.007597901,-0.019935613,-0.105231372,-0.282069417,0.046504952,-1.504144611,-3.874686189
-0.193780192,-0.000312311,-0.437973447,0.172332933,0.017828571,0.059862101,-0.755138288,1.77965159,0.474583386,0.435075778,0.432327428,-0.330308593,0.371826914,-0.061923058,-0.028746458,-0.454492406,-0.035180735,-0.013476992,-0.956861475,-0.014054123,-0.185529572,-0.054748586,-0.239331251,0.014674604,0.114291685,0.419191054,0.407183434,0.004559807,-1.848067254,-0.019932533,-0.105214605,-0.00575709,-0.013206625,-0.438818018,0.454341103
-0.403934555,-1.820790675,-0.129597559,0.400887335,0.02067277,0.040430157,0.219146414,0,-0.13575256,0.094814994,0.400133875,0.389390431,0.151223138,-0.249918527,0.430451739,1.449410959,0.063558144,0.013605049,0.158311699,-0.000152245,-0.02206565,-0.001893579,0.001099366,-0.000517274,0.431399488,0.590310366,0,0,0,-0.019918889,0.007487075,0.004053774,0,0,0
-0.071258393,-0.369674013,-2.064891564,-0.825355143,-0.488650345,1.063019752,-0.279422786,-0.138312436,-0.281797709,-0.031815083,-0.24772346,-0.444714009,-0.197564593,-0.061890177,-0.028728566,-0.200196774,-0.121315899,-0.198590381,0.412468984,-0.392387793,-0.185527238,-0.034166929,-0.339343373,-0.233849835,-0.075316969,-0.522467845,-0.081382793,-0.033122896,-0.431788515,-0.019932527,-0.105214574,-0.015943597,-0.129748974,-0.268679135,-0.999240232
0.372645405,-3.148322403,-0.125078129,-0.928260735,0.547767144,0.082418973,-0.030395652,-0.020252797,1.129225746,-0.041445199,-0.218456706,-0.444750315,0.44285937,-0.061890177,-0.028728566,-0.200196774,0.070404974,-0.149482594,-0.782430779,-0.423666561,-0.075038898,0.019021787,0.012840942,0.001266809,-0.465492048,0.238979748,0.357406749,-0.033124744,-0.422062717,-0.019932533,-0.105214601,-0.005752137,-0.011804499,-1.200888688,0.112066288
0.143243337,-2.717801174,-0.468568059,-0.185736143,-0.351317578,-0.142539543,0.036645031,-0.722286039,0.06861098,-0.153100686,-0.010488855,0.091881165,0.221939738,0.036722146,-0.105382311,-0.64217278,-0.017689519,0.005357111,-0.029891919,0.032859109,-0.001359763,-0.007532118,0.006500469,7.12E-05,-1.916788183,-3.52065893,0.017279303,-0.00261266,-1.480715187,-0.019925269,-0.041748277,-0.004460512,-0.048599024,2.427883329,-0.356770956
0.440259098,0.209391918,0.878802495,1.276706658,-1.122836657,-0.41946788,0,0,0,-0.052138725,-0.120611609,-0.078824908,0.305159465,0.208658565,1.733528845,0.173548662,0,-0.038988634,-0.292167662,-0.094639613,-0.168530361,-0.029888699,-0.010243555,-0.000566198,0,0,0,0,0,-0.019913933,-0.00011708,-0.010221254,0,0,0.794968021
-0.075407067,-2.04387174,-5.374876698,-3.904808146,-1.033058747,-3.150953748,0.464206613,-0.138338551,-3.780150743,-0.031801409,-0.247615298,0.008383855,-0.197471836,0.036707289,-0.167347371,0.214386283,-0.064031113,-0.009548054,-0.152087043,0.005432366,-0.039039706,-0.219729279,-0.006775882,0.008230434,-0.131021069,-0.373439524,-0.192458193,-0.654571334,-0.348151662,-0.019932497,-0.105214415,0.004910193,-0.129744298,-0.723492406,-0.570544522
-0.148670015,-0.216346107,-0.25308507,-0.598891684,-0.815013652,-0.173070711,-0.100487284,-1.697546461,-0.592865724,-0.010112636,-0.247650804,0.00837647,-0.30560559,0.010428115,0.610327058,1.247743785,-0.101262041,-0.009549152,-0.335311902,-0.01319963,-0.005774471,0.012210931,0.000446818,0.000318671,0.088083169,1.384023239,-0.192436856,-0.174973417,0.190986737,-0.019932518,-0.105214523,-0.006620173,-0.119164417,0.306916034,0.27549285
0.016202893,0.516230736,-0.175008431,-0.679036634,-0.375824238,-0.072342099,-0.313555213,-1.515631878,0.095535248,0.077325876,-0.247729241,0.008357475,-0.485664336,0.041302609,0.991652834,1.946443133,0.103893882,-0.005502118,0.164153096,-0.022719703,-0.004758024,-0.001286716,0.001495291,0.000347555,0.680285811,1.404419377,-0.085719953,-0.057863994,1.035847669,-0.019923903,0.030149983,-0.001470841,-0.005065971,0.030027903,0.106346539
-0.365612447,0.56592201,-1.392129171,-1.080209061,-0.781411524,-0.169665366,-0.325598244,0.105310835,0.000714503,0.112577374,-0.710682749,-2.393069914,-0.035939325,0.208658565,1.733528845,0.173548662,0.007824668,-0.038989187,-0.043086359,0,0,0.38169931,0.008079413,0,0.847748971,-0.666093804,0,0,0,-0.019914638,0.002627153,-0.0083587,0,-0.48655906,-0.106122937
0.03059956,-0.022571949,1.350710859,0,0,0,0,0,0,0.117946857,-1.356294712,-4.104919897,0.368275415,0.806952621,2.327783443,-0.365233313,0.007824266,0,0.284739876,0,0,0,-0.111674474,0,0,0,0,0,0,-0.019912962,0,-0.007410505,0,0,0
-0.065190659,-0.179390984,0.845137485,1.637743748,1.346781486,-0.329165214,0.115084282,0.355458891,1.760991488,-1.441957235,-0.092598949,0.053371521,-0.583121687,0.170807122,-0.091945554,-0.232591235,-0.038992928,0.000361914,-0.079996054,0.006032402,-0.000105603,-0.000540827,-0.002367208,-0.00052928,0.16344595,-0.002236008,-0.003708526,0.002040745,-0.282359064,0,0.001226641,-0.000977666,0.004560275,0.826418577,-0.05641693
-0.553542793,-1.807718669,-0.305011747,-0.605843442,-0.218843936,0.078256428,-0.368574903,-0.254041865,0.310022823,1.56681996,-0.24782909,-2.622505908,0.074058078,-0.00830618,0.251336871,0.272183991,0.824153516,0.004336459,-0.172651345,0.006253538,-0.000774977,-0.001564477,-0.000683846,-0.000440061,-0.684092837,1.106948486,-0.435407739,0.002335615,0.537317293,0,0.001219372,-0.000199669,0.190618361,0,0.014140476
-0.194623479,-1.288397443,1.052704657,1.841655688,2.145141371,-0.119835929,-0.204297831,0.411271564,2.739490681,0,0,0,0,0,-0.033092682,0.282457238,0,-0.005763096,-0.322929163,0.031201206,-0.000740148,-0.001123809,-0.004181628,0.000203911,-0.674972725,-1.338559314,0,0.008093723,-0.174284063,0,-0.00458494,-0.00014652,0,0,-0.251633004
0.317292054,0.764162393,0,0,0,0.485698162,-0.001638292,0,0.007641487,0,0.010660147,0.04961458,0.012604624,0,0,0,0,0,0.151827209,0,0,-0.137943625,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.223105423,0,0,0,0,-0.049796368,0.664934943,0.057535296,0,0,0,0,0,0,0,0,-0.137901783,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.244188009,0,0,0,0,0,0,0,-0.09788414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002337182,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.012638023,-1.127435532,-1.114053352,-0.00161755,0.055539276,0.668401015,-0.041908208,0.069897667,-0.185358213,-0.33242733,-0.233939525,0,0,0,0,0,0,0,0,0,0,0,0,-1.10064888,0,0,0,0,0,0,-0.100252992,0.352318942,-0.292219793
0,0,0,0,0,0,0.450622983,0,2.213134275,0.069843409,-0.057030329,0.09943103,0.236551863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-0.250197123,-0.9890074,-1.368002368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.369126828,-0.023949283,-1.243778549,-1.393767032,-0.774740412,-0.214099443,0.066403377,0.123721646,-1.986900842,0.205493973,-0.163317971,-3.001413968,-1.066429934,0.036543851,0.104199573,0.012235691,-0.130542823,-0.034678262,-0.73320531,-0.564808721,0.000807778,0.012846945,-0.02418362,0.013946121,-0.055223016,0.220553366,0.125352664,-0.034619043,-0.381754697,0.027541093,0.00059952,0.002023902,0.008377709,-0.427984559,0.199453183
